,company,country_of_origin,model,number_of_cc,horsepower,torque,transmission_type,drivetrain,seating,price,year,looks,body_type,engine_type,number_of_cylinders
100,india,India,v125,124.7,10.19,9.2,automatic,belt drive,1,80000.0,2023,classy,scooter,air cooled single cylinder 4stroke,1
101,india,India,v200,200.0,12.9,16.0,automatic,belt drive,1,100000.0,2023,classy,scooter,air cooled single cylinder 4stroke,1
102,china,China,lf125s,125.0,9.4,9.5,cvt,automatic,1,50000.0,2023,modern,scooter,air cooled single cylinder 4stroke,1
103,china,China,lf200gy,200.0,12.0,14.0,cvt,automatic,1,70000.0,2023,modern,scooter,air cooled single cylinder 4stroke,1
104,china,China,lf250k,250.0,18.5,18.0,manual,chain drive,1,100000.0,2023,modern,adventure,air cooled single cylinder 4stroke,1
105,china,China,lf250gy-3,250.0,22.5,21.0,manual,chain drive,1,100000.0,2023,modern,sport,air cooled single cylinder 4stroke,1
106,india,India,mojo 300,295.0,26.5,28.0,manual,chain drive,2,208000.0,2015,adventure,naked,singlecylinder liquidcooled dohc,1
107,india,India,xpulse 200,199.6,18.1,17.3,manual,chain drive,2,128990.0,2019,adventure,standard,singlecylinder aircooled ohc,1
108,india,India,gusto 125,124.9,10.7,10.5,manual,chain drive,2,69990.0,2017,commuter,standard,singlecylinder aircooled ohc,1
109,india,India,duro dzire,110.0,8.5,8.5,manual,chain drive,2,54990.0,2019,commuter,standard,singlecylinder aircooled ohc,1
110,india,India,centuro 100,106.7,8.5,8.5,manual,chain drive,2,54095.0,2014,commuter,standard,singlecylinder aircooled ohc,1
111,italy,Italy,v85 tt,853.0,80.0,73.8,manual,shaft drive,2,1540000.0,2022,adventure,standard,vtwin,1
112,italy,Italy,v9 bobber,900.0,65.0,59.4,manual,shaft drive,2,1360000.0,2016,bobber,cruiser,vtwin,1
113,italy,Italy,v9 roamer,900.0,65.0,59.4,manual,shaft drive,2,1330000.0,2016,cruiser,cruiser,vtwin,1
114,italy,Italy,audace,900.0,75.0,72.0,manual,shaft drive,2,1480000.0,2019,cruiser,cruiser,vtwin,1
115,italy,Italy,eldorado,1400.0,96.0,86.0,manual,shaft drive,2,1750000.0,2016,classic,cruiser,vtwin,1
116,italy,Italy,mgx-21,1700.0,115.0,89.0,automatic,shaft drive,2,2490000.0,2021,cruiser,cruiser,vtwin,1
122,uk,UK,commando 961 café racer,961.0,80.0,67.0,manual,chain drive,2,2099000.0,2023,classy,café racer,aircooled paralleltwin,2
123,uk,UK,commando 961 sport,961.0,80.0,67.0,manual,chain drive,2,2099000.0,2023,classy,sports bike,aircooled paralleltwin,2
124,uk,UK,atlas,1200.0,105.0,90.0,manual,shaft drive,2,3299000.0,2022,adventure,adventure bike,liquidcooled paralleltwin,2
125,uk,UK,v4sv,1200.0,177.0,125.0,manual,chain drive,2,3599000.0,2023,sporty,superbike,liquidcooled v4,4
126,italy,Italy,aprilia sr160,160.0,11.3,11.5,cvt,automatic,2,125000.0,2023,sporty,scooter,aircooled singlecylinder,1
127,italy,Italy,aprilia rs150,150.0,17.7,14.2,manual,chain drive,2,155000.0,2023,sporty,sports bike,liquidcooled singlecylinder,1
128,italy,Italy,aprilia tuono 660,660.0,95.0,67.0,manual,chain drive,2,315000.0,2022,sporty,naked bike,liquidcooled paralleltwin,2
129,italy,Italy,vespa vx125,125.0,9.5,9.8,cvt,automatic,2,115000.0,2023,classic,scooter,aircooled singlecylinder,1
130,italy,Italy,vespa gts300,300.0,23.8,26.0,cvt,automatic,2,215000.0,2023,classic,scooter,liquidcooled singlecylinder,1
131,india,India,bullet 350,346.0,19.8,28.0,manual,chain drive,2,147000.0,2023,classic,cruiser,aircooled singlecylinder,1
132,india,India,bullet 500,499.0,27.2,41.0,manual,chain drive,2,197000.0,2023,classic,cruiser,aircooled singlecylinder,1
133,india,India,meteor 350,349.0,20.2,27.0,manual,chain drive,2,165000.0,2022,classic,cruiser,aircooled singlecylinder,1
134,india,India,himalayan,411.0,24.5,32.0,manual,chain drive,2,220000.0,2022,adventure,adventure bike,aircooled singlecylinder,1
135,india,India,interceptor 650,648.0,47.6,52.0,manual,shaft drive,2,279000.0,2022,classic,cafe racer,aircooled paralleltwin,2
136,india,India,continental gt 650,648.0,47.6,52.0,manual,shaft drive,2,299000.0,2022,sporty,cafe racer,aircooled paralleltwin,2
137,india,India,super meteor 650,648.0,47.0,52.3,manual,chain drive,2,349000.0,2022,classy,cruiser,parallel twin,2
138,japan,Japan,gixxer sf 250,249.0,26.5,22.6,manual,chain drive,2,169000.0,2022,sporty,naked bike,singlecylinder,1
139,japan,Japan,gixxer 250,249.0,26.5,22.6,manual,chain drive,2,139000.0,2022,sporty,street bike,singlecylinder,1
140,japan,Japan,intruder 150,155.0,14.8,14.0,manual,chain drive,2,115000.0,2022,classic,cruiser,singlecylinder,1
141,japan,Japan,access 125,124.0,8.7,10.2,cvt,automatic,2,67500.0,2022,practical,scooter,singlecylinder,1
142,japan,Japan,burgman street 125,124.0,8.7,10.2,cvt,automatic,2,78300.0,2022,practical,scooter,singlecylinder,1
143,taiwan,Taiwan,joymax z 300,300.0,32.0,26.0,automatic,cvt,2,325000.0,2023,adventure,maxiscooter,liquidcooled 4stroke singlecylinder,1
144,taiwan,Taiwan,maxsym 400i,400.0,33.0,34.0,automatic,cvt,2,450000.0,2022,sporty,maxiscooter,liquidcooled 4stroke singlecylinder,1
145,taiwan,Taiwan,joyride 125,125.0,10.0,10.0,automatic,cvt,2,110000.0,2022,classy,scooter,aircooled 4stroke singlecylinder,1
146,taiwan,Taiwan,fiddle iii 125,125.0,9.0,9.0,automatic,cvt,2,95000.0,2021,classy,scooter,aircooled 4stroke singlecylinder,1
147,taiwan,Taiwan,hd 200,200.0,17.0,16.0,manual,chain,2,150000.0,2020,classic,naked bike,aircooled 4stroke singlecylinder,1
148,united kingdom,United Kingdom,rocket 3 r,2500.0,167.0,163.0,manual,shaft drive,2,2019312.0,2023,classy cruiser,cruiser,3cylinder,3
149,united kingdom,United Kingdom,speed triple 1200 rr,1160.0,177.0,95.0,sequential,chain drive,1,1795000.0,2023,sporty aggressive,naked,3cylinder,3
150,united kingdom,United Kingdom,trident 660,660.0,89.0,59.0,manual,chain drive,2,745000.0,2022,modern sporty,naked,3cylinder,2
151,united kingdom,United Kingdom,tiger 900 gt pro,888.0,105.0,64.0,manual,shaft drive,2,1499000.0,2023,adventure touring,adventure,3cylinder,1
152,united kingdom,United Kingdom,tiger 850 sport,888.0,85.0,62.0,manual,shaft drive,2,1195000.0,2022,adventure sporty,adventure,3cylinder,1
153,united kingdom,United Kingdom,speed twin 900,900.0,97.0,85.0,manual,chain drive,2,849000.0,2022,classic stylish,naked,2cylinder,2
154,united kingdom,United Kingdom,bonneville t100,900.0,65.0,59.0,manual,chain drive,2,969000.0,2022,classic vintage,cruiser,2cylinder,2
155,united kingdom,United Kingdom,bonneville t120,1200.0,79.0,87.0,manual,chain drive,2,1109000.0,2022,classic vintage,cruiser,2cylinder,2
156,italy,Italy,primavera,150.0,12.1,12.2,cvt,automatic,2,132000.0,2022,classic stylish,scooter,1cylinder,1
157,italy,Italy,sprint,125.0,10.0,8.8,cvt,automatic,2,115000.0,2022,modern sporty,scooter,1cylinder,1
158,italy,Italy,gts 300,300.0,23.8,19.4,cvt,automatic,2,175000.0,2022,sporty aggressive,scooter,1cylinder,1
159,italy,Italy,946,125.0,10.7,9.2,cvt,automatic,2,165000.0,2022,classic vintage,scooter,1cylinder,1
160,italy,Italy,elettrica,70.0,4.0,56.0,cvt,electric,2,110000.0,2022,modern stylish,scooter,electric,0
161,japan,Japan,r1,998.0,200.0,112.0,manual,chain drive,1,2000000.0,2023,sporty aggressive,sportbike,4cylinder,4
162,japan,Japan,mt-09,889.0,117.0,69.0,manual,chain drive,1,850000.0,2022,modern sporty,naked,3cylinder,3
163,japan,Japan,r3,321.0,42.0,29.0,manual,chain drive,1,550000.0,2022,sporty beginnerfriendly,sportbike,4cylinder,4
164,japan,Japan,fz-25,249.0,26.0,18.6,manual,chain drive,1,350000.0,2022,modern stylish,naked,1cylinder,1
165,japan,Japan,xsr155,155.0,18.0,14.7,manual,chain drive,1,200000.0,2022,classic vintage,retro,1cylinder,1
166,italy,Italy,rr 350 2-stroke,350.0,40.0,34.0,sequential,chain drive,1,1250000.0,2023,classy,enduro,twostroke,1
167,italy,Italy,rr 250 2-stroke,250.0,35.0,27.0,sequential,chain drive,1,1100000.0,2023,classy,enduro,twostroke,1
168,italy,Italy,rr 125 2-stroke,125.0,27.0,22.0,sequential,chain drive,1,800000.0,2023,classy,enduro,twostroke,1
169,italy,Italy,rr 390 4-stroke,390.0,45.0,37.0,sequential,chain drive,1,1400000.0,2023,classy,enduro,fourstroke,1
170,italy,Italy,rr 250 4-stroke,250.0,38.0,28.0,sequential,chain drive,1,1200000.0,2023,classy,enduro,fourstroke,1
171,italy,Italy,rr 125 4-stroke,125.0,24.0,20.0,sequential,chain drive,1,850000.0,2023,classy,enduro,fourstroke,1
172,italy,Italy,alp 200,200.0,25.0,22.0,mesh,shaft drive,2,1050000.0,2023,adventure,dualsport,fourstroke,1
173,italy,Italy,alp 125,125.0,20.0,18.0,mesh,shaft drive,2,800000.0,2023,adventure,dualsport,fourstroke,1
174,spain,Spain,mc 250f,250.0,37.0,26.0,speed,chain drive,1,1100000.0,2023,modern,enduro,fourstroke,1
175,spain,Spain,mc 350f,350.0,44.0,32.0,speed,chain drive,1,1300000.0,2023,modern,enduro,fourstroke,1
176,spain,Spain,mc 450f,450.0,52.0,42.0,speed,chain drive,1,1450000.0,2023,modern,enduro,fourstroke,1
177,spain,Spain,ec 250,250.0,35.0,25.0,speed,chain drive,1,1050000.0,2023,modern,motocross,twostroke,1
178,spain,Spain,ec 300,300.0,40.0,30.0,speed,chain drive,1,1200000.0,2023,modern,motocross,twostroke,1
179,spain,Spain,ec 250f,250.0,37.0,26.0,speed,chain drive,1,1150000.0,2023,modern,enduro,twostroke,1
180,spain,Spain,ec 300f,300.0,44.0,32.0,speed,chain drive,1,1300000.0,2023,modern,enduro,twostroke,1
182,united states,United States,livewire,1133.0,105.0,116.0,drive,permanent magnet synchronous motor,1,3500000.0,2021,modern,cruiser,electric,1
183,japan,Japan,ct125,124.9,10.2,10.4,cvt,shaft drive,1,135000.0,2022,adventure,trail,single,1
184,japan,Japan,super cub,110.0,8.5,9.5,cvt,chain drive,1,65000.0,2023,classic,standard,single,1
185,sweden,Sweden,vitpilen 250,248.76,30.84,24.0,manual,chain,1,219000.0,2023,classy,naked,singlecylinder,1
186,sweden,Sweden,svartpilen 250,248.76,30.84,24.0,manual,chain,1,219000.0,2023,adventure,naked,singlecylinder,1
187,sweden,Sweden,vitpilen 401,373.2,43.5,37.0,manual,chain,1,280000.0,2023,classy,naked,singlecylinder,1
188,sweden,Sweden,svartpilen 401,373.2,43.5,37.0,manual,chain,1,290000.0,2023,adventure,naked,singlecylinder,1
189,sweden,Sweden,fe 350,350.0,39.3,35.0,manual,chain,1,420000.0,2023,motocross,enduro,singlecylinder,1
190,sweden,Sweden,te 300i,300.0,44.2,30.0,manual,chain,1,400000.0,2023,enduro,enduro,singlecylinder,2
191,sweden,Sweden,fe 501,501.0,51.5,48.0,manual,chain,1,550000.0,2023,motocross,enduro,singlecylinder,1
192,sweden,Sweden,te 501i,501.0,51.5,48.0,manual,chain,1,530000.0,2023,enduro,enduro,singlecylinder,1
193,austria,Austria,1290 super duke r,1301.0,177.0,140.0,manual,chain,1,1700000.0,2023,aggressive,naked,vtwin,2
194,italy,Italy,seiemmezzo 6 ½,649.0,55.7,54.0,manual,chain,2,6.89,2023,classy,naked,paralleltwin,2
195,italy,Italy,x-cape,649.0,60.8,54.0,manual,shaft,2,7.2,2023,adventure,adventure,paralleltwin,2
196,japan,Japan,hayabusa,1340.0,190.0,150.0,manual,chain,2,1690000.0,2023,classy,sport,inlinefour,4
197,united kingdom,United Kingdom,rocket 3,2458.0,167.0,221.0,manual,shaft,2,2140000.0,2023,classy,cruiser,inlinethree,3
199,india,India,pulsar 125,124.9,12.7,11.0,mesh,chain,1,68000.0,2023,modern sporty,street,aircooled 4stroke singlecylinder dtsi,1
200,india,India,pulsar 150,149.5,14.5,13.0,mesh,chain,1,85000.0,2023,modern sporty,street,aircooled 4stroke singlecylinder dtsi,1
204,india,India,platina 110,110.0,8.6,9.8,mesh,chain,1,62000.0,2023,simple reliable,commuter,aircooled 4stroke singlecylinder dtsi,1
205,india,India,splendor plus,100.0,9.0,8.9,mesh,chain,1,58000.0,2023,simple reliable,commuter,aircooled 4stroke singlecylinder dtsi,1
206,india,India,passion pro,110.0,9.1,9.7,mesh,chain,1,64000.0,2023,modern sporty,commuter,aircooled 4stroke singlecylinder dtsi,1
209,india,India,glamour 125,124.7,10.7,10.6,mesh,chain,1,72000.0,2023,modern stylish,commuter,aircooled 4stroke singlecylinder dtsi,1
210,india,India,hf deluxe,100.0,8.3,8.05,mesh,chain,1,51000.0,2023,simple reliable,commuter,aircooled 4stroke singlecylinder dtsi,1
214,india,India,apache rtr 200 4v,199.5,19.7,16.8,speed,chain drive,2,128000.0,2018,sporty,naked,singlecylinder aircooled,1
215,india,India,apache rtr 200 4v fi,199.5,20.2,18.1,speed,chain drive,2,134000.0,2020,sporty,naked,singlecylinder fuelinjected aircooled,1
216,india,India,apache rtr 160 2v,159.7,15.3,13.7,speed,chain drive,2,99500.0,2020,sporty,naked,singlecylinder aircooled,1
217,india,India,ntorq 125,124.8,9.4,10.5,cvt,automatic,2,69900.0,2019,fun,scooter,singlecylinder aircooled,1
218,india,India,jupiter,110.0,8.3,9.4,cvt,automatic,2,62275.0,2022,practical,scooter,singlecylinder aircooled,1
219,india,India,sport 125,124.8,9.7,10.5,speed,chain drive,2,78750.0,2022,classic,standard,singlecylinder aircooled,1
220,india,India,radeon,124.8,8.7,10.0,speed,chain drive,2,72750.0,2022,budget,standard,singlecylinder aircooled,1
221,china,China,artemis,750.0,500.0,80.0,motor,shimano drivetrain,1,250000.0,2023,modern,mountain bike,electric,1
222,china,China,artemis,250.0,250.0,80.0,motor,shimano drivetrain,1,150000.0,2022,modern,hybrid bike,electric,1
223,india,India,artemis,250.0,250.0,80.0,motor,shimano drivetrain,1,100000.0,2021,classic,electric scooter,electric,1
224,india,India,artemis,250.0,250.0,80.0,motor,shimano drivetrain,1,80000.0,2020,classic,electric scooter,electric,1
225,france,France,django 125,125.0,10.2,10.8,manual,chain,2,115000.0,2023,classic,cruiser,singlecylinder,1
226,france,France,django 300,300.0,27.0,29.0,manual,chain,2,145000.0,2023,modern,cruiser,singlecylinder,1
227,france,France,metropolis 400,399.0,36.0,38.0,automatic,cvt,3,240000.0,2023,futuristic,scooter,singlecylinder,1
228,india,India,brutus single speed mtb 29,29.0,25.0,25.0,speed,front suspension,1,14250.0,2023,rugged,mountain bike,2,1
229,spain,Spain,stx 150,150.0,12.5,12.0,manual,chain drive,1,100000.0,2023,sporty,street bike,4stroke,1
230,china,China,tc,125.0,5.0,110.0,automatic,electric,2,140000.0,2023,retromodern,naked,electric,1
231,china,China,tc max,125.0,5.0,110.0,automatic,electric,2,160000.0,2023,modern,cafe racer,electric,1
232,china,China,ts street hunter,125.0,5.0,110.0,automatic,electric,2,150000.0,2023,modern,streetfighter,electric,1
233,china,China,tc wanderer,125.0,5.0,110.0,automatic,electric,2,130000.0,2023,retromodern,scrambler,electric,1
234,italy,Italy,dragster 200,200.0,20.07,17.0,automatic,singlegear,2,829000.0,2020,futuristic,naked,liquidcooled,1
240,united states,United States,cross country,106.0,94.0,110.0,mesh,belt drive,2,1500000.0,2017,modern,cruiser,vtwin,2
241,united states,United States,judge,106.0,94.0,110.0,mesh,belt drive,2,1450000.0,2017,modern,cruiser,vtwin,2
242,united states,United States,hammer,1179.0,104.0,100.0,mesh,belt drive,2,1700000.0,2017,modern,cruiser,vtwin,2
243,united states,United States,octane,1179.0,104.0,76.0,mesh,belt drive,2,1250000.0,2017,modern,cruiser,vtwin,2
244,united states,United States,vision,1731.0,116.0,120.0,mesh,belt drive,2,2200000.0,2017,modern,touring,vtwin,3
245,china,China,furious 125,125.0,11.0,10.0,mesh,chain drive,2,100000.0,2023,modern,street,single,1
246,china,China,black cafe 125,125.0,11.0,10.0,mesh,chain drive,2,105000.0,2023,retro,cafe racer,single,1
247,china,China,muscle 125,125.0,11.0,10.0,mesh,chain drive,2,110000.0,2023,modern,cruiser,single,1
248,china,China,scrambler 125,125.0,11.0,10.0,mesh,chain drive,2,115000.0,2023,retro,scrambler,single,1
249,china,China,raw 125,125.0,11.0,10.0,mesh,chain drive,2,120000.0,2023,modern,naked,single,1
250,italy,Italy,v302c,298.0,29.9,26.5,manual,chain drive,1,389000.0,2023,cruiser,retro,aircooled singlecylinder,1
251,italy,Italy,vieste 300,278.2,18.4,16.0,automatic,automatic cvt,1,324992.0,2023,modern,sport,liquidcooled singlecylinder,1
252,italy,Italy,k-light 250v,249.0,18.4,17.0,manual,chain drive,1,319983.0,2023,modern,sports naked,aircooled singlecylinder,1
253,italy,Italy,k300 r,292.4,27.1,22.0,manual,chain drive,1,265053.0,2023,modern,sports,liquidcooled singlecylinder,1
254,italy,Italy,sixties 300i,278.2,18.4,16.0,automatic,automatic cvt,1,329984.0,2023,retro,cafe racer,liquidcooled singlecylinder,1
255,italy,Italy,sr125,125.0,9.56,10.5,automatic,automatic cvt,1,119999.0,2023,modern,commuter,aircooled singlecylinder,1
256,india,India,jawa 42,293.0,27.33,27.02,manual,chain drive,2,167000.0,2020,retro,cruiser,singlecylinder liquidcooled,1
257,india,India,jawa 42 bobber,293.0,27.33,27.02,manual,chain drive,2,184000.0,2020,retro,bobber,singlecylinder liquidcooled,1
